date,userID,currentRanking,votePerPostRanking,tier,points,totalGoldMedals,totalSilverMedals,totalBronzeMedals,votesPerPost,totalDiscussionsCount,totalTopicsCount,totalRepliesCount,totalUpvotesCount
2022-11-30,cdeotte,1,61,GRANDMASTER,8917,381,504,4326,5.033561979421852,8164,232,7932,41094
2022-11-30,mpwolke,2,317,GRANDMASTER,5319,72,106,9477,0.9143755328218244,18768,779,17989,17161
2022-11-30,hengck23,3,69,GRANDMASTER,5265,412,478,2688,4.799687282835302,5756,570,5186,27627
2022-11-30,cpmpml,4,137,GRANDMASTER,4493,448,582,4504,3.0953064152490266,9758,455,9303,30204
2022-11-30,thedevastator,5,284,GRANDMASTER,3476,62,44,2058,1.1891156462585033,4410,123,4287,5244
2022-11-30,ravi20076,6,324,EXPERT,3081,19,26,2700,0.8370271303018724,5234,44,5190,4381
2022-11-30,ambrosm,7,32,GRANDMASTER,2537,63,56,418,6.826283987915408,662,50,612,4519
2022-11-30,carlmcbrideellis,8,136,GRANDMASTER,2223,102,116,1354,3.09570794277257,2027,133,1894,6275
2022-11-30,philippsinger,9,101,GRANDMASTER,2019,145,211,1111,3.924865831842576,2236,58,2178,8776
2022-11-30,dschettler8845,10,111,GRANDMASTER,1959,71,51,500,3.610651974288338,1089,121,968,3932
2022-11-30,vad13irt,11,157,GRANDMASTER,1795,71,36,709,2.727534148094896,1391,100,1291,3794
2022-11-30,remekkinas,12,182,GRANDMASTER,1764,66,29,868,2.3274917853231107,1826,73,1753,4250
2022-11-30,usharengaraju,13,91,GRANDMASTER,1751,103,32,879,4.143426294820717,1506,151,1355,6240
2022-11-30,raddar,14,36,GRANDMASTER,1619,106,125,510,6.253831417624521,1044,68,976,6529
2022-11-30,nancyalaswad90,15,305,MASTER,1600,41,10,1094,0.983485001685204,2967,49,2918,2918
2022-11-30,abhishek,16,120,GRANDMASTER,1427,150,149,905,3.4168110918544192,2308,270,2038,7886
2022-11-30,muhammedtausif,17,301,MASTER,1297,19,33,1070,1.010294805802527,2137,125,2012,2159
2022-11-30,gunesevitan,18,104,GRANDMASTER,1275,99,91,659,3.790349417637272,1202,102,1100,4556
2022-11-30,mugentk,19,11,GRANDMASTER,1208,79,49,600,10.469660194174756,824,52,772,8627
2022-11-30,surajjha101,20,294,EXPERT,1155,22,14,1165,1.0621791215059897,1753,16,1737,1862
2022-11-30,lucamassaron,21,108,GRANDMASTER,1141,65,37,476,3.721913236929922,899,113,786,3346
2022-11-30,theoviel,22,75,GRANDMASTER,1128,78,63,461,4.620314389359129,827,57,770,3821
2022-11-30,xhlulu,23,59,GRANDMASTER,1127,74,61,376,5.173965936739659,822,134,688,4253
2022-11-30,lucasmorin,24,171,MASTER,1109,43,55,520,2.486096807415036,971,100,871,2414
2022-11-30,ruchi798,25,46,GRANDMASTER,1090,50,39,420,5.687382297551789,531,102,429,3020
2022-11-30,andradaolteanu,26,25,MASTER,1075,41,26,182,7.567335243553009,349,65,284,2641
2022-11-30,init27,27,114,GRANDMASTER,1071,62,56,479,3.587188612099644,843,108,735,3024
2022-11-30,pythonafroz,28,389,EXPERT,1048,1,4,1150,0.5264527320034692,2306,5,2301,1214
2022-11-30,yasufuminakama,29,35,MASTER,1045,41,26,216,6.2675,400,26,374,2507
2022-11-30,kirderf,30,209,GRANDMASTER,1032,55,70,486,2.0164744645799013,1214,194,1020,2448
2022-11-30,crained,31,122,GRANDMASTER,1030,56,39,435,3.400655021834061,916,150,766,3115
2022-11-30,michau96,32,256,MASTER,1003,40,33,716,1.4484641638225255,1465,71,1394,2122
2022-11-30,kritidoneria,33,240,MASTER,981,42,41,697,1.696035242290749,1589,167,1422,2695
2022-11-30,ravishah1,34,17,EXPERT,978,35,10,83,9.475308641975309,162,62,100,1535
2022-11-30,awsaf49,35,141,MASTER,972,36,26,309,3.0014084507042256,710,80,630,2131
